Negara,Provinsi,Lat,Lon,Tahun ,Jumlah Puskesmas ,Jumlah Rumah Sakit Khusus,Jumlah Rumah Sakit Umum,Persentase kemiskinan (sem.1 (maret)),Persentase kemiskinan (sem.2 (september)),Jumlah kemiskinan (sem.2 (september)),Jumlah Penduduk Yang Dicakup Asuransi Kesehatan Atau Sistem Kesehatan Masyarakat (Orang),Suhu Minimum ,Suhu Rata-rata,Suhu Maksimum,jumlah penduduk ,Jumlah Penduduk (ribu jiwa),Luas Wilayah,Kepadatan penduduk (jiwa/km2),Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak (Persen),Jumlah Curah Hujan (mm),Jumlah Hari Hujan (hari),Annual Parasite Incidence (API),"Status Endemisitas (0=Eliminasi, 1=Rendah, 2=Sedang, 3=Tinggi)"
Indonesia,South Sumatra,,,2013,180,1,18,18.34,17.75,320.41,"935,823",21.00,26.74,34.20,"1,814,000","1,814","19,919",92,32.37,"3,981",250.00,3.89,2
Indonesia,Bangka Belitung Islands,,,2013,280,10,39,14.86,14.39,1134.28,"7,608,405",22.90,26.70,33.30,"7,932,000","7,932","35,376",225,45.86,"2,457",198.00,0.34,1
Indonesia,Bengkulu,,,2013,60,1,13,5.21,5.25,70.9,"1,096,720",23.80,27.00,32.00,"1,315,000","1,315","16,424",81,77.95,"2,839",243.00,1.28,2
Indonesia,Lampung,,,2013,70,3,22,6.46,6.35,125.02,"599,764",22.40,26.77,33.70,"1,861,000","1,861","8,202",227,71.35,"3,389",227.00,0.49,1
Indonesia,Jakarta,,,2013,340,59,91,3.55,3.72,375.7,"6,406,352",22.40,28.20,35.80,"9,970,000","9,970",664,15015,86.57,"2,525",172.00,0,0
Indonesia,Banten,,,2013,1050,69,205,9.52,9.61,4382.65,"22,166,255",18.50,23.50,30.10,"45,341,000","45,341","35,378",1282,60.18,"2,682",240.00,0,0
Indonesia,West Java,,,2013,873,74,201,14.56,14.44,4704.87,"19,218,385",24.64,28.02,32.05,"33,264,000","33,264","32,801",1015,63.28,"2,628",187.00,0.04,1
Indonesia,Central Java,,,2013,121,21,48,15.43,15.03,535.18,"3,326,650",18.40,26.20,35.70,"3,595,000","3,595","3,133",1148,84.2,"2,309",149.00,0.02,1
Indonesia,Yogyakarta Special Region,,,2013,960,90,229,12.55,12.73,4865.82,"19,866,221",20.60,27.90,35.80,"38,363,000","38,363","47,803",803,60.38,"2,270",181.00,0,0
Indonesia,East Java,,,2013,230,24,53,5.74,5.89,682.71,"4,145,872",22.70,27.00,32.90,"11,452,000","11,452","9,663",1186,67.27,"3,573",206.00,0.01,1
Indonesia,Bali,,,2013,120,12,45,3.95,4.49,186.53,"3,890,757",23.40,27.40,33.70,"4,056,000","4,056","5,780",702,83.63,"2,155",157.00,0,0
Indonesia,West Nusa Tenggara,,,2013,158,1,22,17.97,17.25,802.45,"3,133,961",20.80,28.25,35.20,"4,711,000","4,711","18,572",254,52.88,"2,099",160.00,0.57,1
Indonesia,East Nusa Tenggara,,,2013,362,3,38,20.03,20.24,1009.15,"3,776,229",21.50,27.50,34.20,"4,954,000","4,954","48,718",102,28.8,"2,149",126.00,16.37,3
Indonesia,West Kalimantan,,,2013,237,8,32,8.24,8.74,394.17,"2,324,143",21.60,26.90,36.40,"4,641,000","4,641","147,307",32,52.1,"3,382",202.52,0.23,1
Indonesia,Central Kalimantan,,,2013,194,1,16,5.93,6.23,145.36,"1,557,872",23.00,27.40,33.70,"2,385,000","2,385","153,565",16,44.05,"3,260",241.00,2,2
Indonesia,South Kalimantan,,,2013,228,6,25,4.77,4.76,183.27,"2,167,044",20.60,26.70,36.80,"3,854,000","3,854","38,744",100,57.54,"3,006",243.00,1.43,2
Indonesia,East Kalimantan,,,2013,222,14,40,6.06,6.38,255.91,"3,101,462",23.90,27.43,32.70,"3,871,000","3,871","129,067",30,75.93,"2,854",259.00,0.47,1
Indonesia,North Kalimantan,,,2013,290,15,52,12,12,860,"4,598,205",24.10,27.40,32.80,"7,528,061","7,528","75,468",100,57.64,"3,154",248.00,3.91,3
Indonesia,North Sulawesi,,,2013,183,3,37,7.88,8.5,200.16,"1,996,958",22.70,26.37,32.20,"2,360,000","2,360","13,892",170,72.28,"3,720",265.00,1.11,2
Indonesia,Gorontalo,,,2013,183,6,20,14.67,14.32,400.09,"1,890,827",20.60,26.70,36.80,"2,786,000","2,786","61,841",46,54.21,906,209.46,1.13,2
Indonesia,Central Sulawesi,,,2013,440,25,57,9.54,10.32,857.45,"8,034,776",21.30,27.23,34.20,"8,342,000","8,342","46,717",179,69.51,"3,973",213.00,0.25,1
Indonesia,West Sulawesi,,,2013,264,5,20,12.83,13.73,326.71,"1,352,752",22.30,27.00,33.30,"2,397,000","2,397","38,068",63,59.24,"2,619",206.00,0.62,1
Indonesia,South Sulawesi,,,2013,91,1,11,17.51,18.01,200.97,"1,040,164",22.20,27.00,34.20,"1,098,000","1,098","11,257",98,52.69,"1,775",207.00,1.08,2
Indonesia,Southeast Sulawesi,,,2013,92,0,9,12.3,12.23,154.2,"645,248",24.10,27.58,32.60,"1,234,000","1,234","16,787",74,46.42,"1,682",198.00,0.4,1
Indonesia,Maluku,,,2013,190,1,26,19.49,19.27,322.51,"1,533,506",22.05,27.00,34.08,"1,628,000","1,628","46,914",35,62.39,"2,738",211,8.25,3
Indonesia,North Maluku,,,2013,125,0,18,7.5,7.64,85.82,"766,719",23.00,27.00,32.00,"1,115,000","1,115","31,983",35,57.72,"2,713",215.00,4.51,2
Indonesia,West Papua,,,2013,143,0,16,26.67,27.14,234.23,"760,422",22.80,27.30,32.60,"828,000",828,"102,955",9,49.06,"3,419",251.00,38.44,3
Indonesia,Papua,,,2013,391,2,33,31.13,31.53,1057.98,"2,833,381",25.30,27.90,31.70,"3,032,000","3,032","319,036",10,27.89,"4,033",251.00,42.65,3
Indonesia,Aceh,,,2014,337,3,61,18.05,16.98,837.42,"4,537,105",22.00,27.10,34.20,"4,907,000","4,907","57,956",85,33.68,"2,264",142.00,0.16,1
Indonesia,North Sumatra,,,2014,570,18,159,9.38,9.85,1360.6,"6,741,192",20.00,27.90,35.20,"13,767,000","13,767","72,981",189,66.92,"2,148",200.00,0.69,1
Indonesia,West Sumatra,,,2014,264,24,38,7.41,6.89,354.74,"3,199,658",18.20,25.67,35.50,"5,132,000","5,132","42,012",123,42.34,"2,838",163.00,0.18,1
Indonesia,Riau,,,2014,211,12,50,8.12,7.99,498.28,"2,196,813",21.40,27.20,35.90,"6,188,000","6,188","87,023",72,48.74,"2,344",188.00,0.13,1
Indonesia,Riau Islands,,,2014,176,5,28,7.92,8.39,281.75,"1,384,798",21.00,27.20,34.30,"3,344,000","3,344","5,016",667,58.58,"1,781",199.00,0.84,1
Indonesia,Jambi,,,2014,321,10,45,13.91,13.62,1085.8,"3,520,494",26.00,24.20,34.80,"7,942,000","7,942","91,592",87,59.79,"1,668",176.00,0.3,1
Indonesia,South Sumatra,,,2014,180,1,18,17.48,17.09,316.5,"1,043,847",23.50,26.90,32.10,"1,845,000","1,845","19,919",93,33.18,"3,323",174.00,2.17,2
